initial_token,token_with_border
adla,adl<>a
olağan,ola<>ğan
saplanan,saplana<>n
mənbəyik,mən<>bəyik
hazim,haz<>im
qaçışı,qaçış<>ı
ulıp,ulı<>p
analiz,ana<>liz
məsafədə,məs<>afəd<>ə
istikba,ist<>i<>kba
gülşəni,gül<>şən<>i
çalsa,çal<>s<>a
kaçmayın,kaçmay<>ı<>n
bilgili,bil<>gili
soruşd,sor<>uşd
ndərdini,ndərdi<>n<>i
təbliğat,təb<>liğat
demirel,dem<>irel
etmişdim,etm<>işdim
hamallar,hamalla<>r
indidən,indid<>ə<>n
minabi,min<>ab<>i
vardılar,vardıl<>a<>r
kafirlər,kafirlə<>r
sunye,suny<>e
prfssru,prfssr<>u
dumanlıq,dumanlı<>q
cenova,ceno<>v<>a
devrinin,dev<>rini<>n
emomali,emoma<>l<>i
verilməd,ver<>i<>lməd
aktris,akt<>ris
kaydığı,kay<>dığ<>ı
yaranma,yar<>a<>nma
yoluxma,yol<>uxma
yemler,yemle<>r
karvanı,kar<>vanı
zatən,zatə<>n
bondone,bondo<>n<>e
zərfə,zər<>fə
qardra,qar<>dr<>a
təxtində,təxtin<>d<>ə
başından,baş<>ından
atala,ata<>la
fourth,fourt<>h
barışdan,bar<>ışda<>n
xalvar,xalv<>a<>r
anonslar,anonsl<>a<>r
olanına,ola<>nın<>a
aradaki,arada<>k<>i
götürə,göt<>ü<>rə
tələbəni,təl<>əbən<>i
uzatmayı,uza<>tmay<>ı
cancur,can<>cur
qoyuru,qoy<>uru
manevr,man<>evr
yarışın,yar<>ı<>şın
fidanın,fidanı<>n
gücüdü,güc<>üdü
elden,elde<>n
verilme,ver<>i<>lme
etməməli,etm<>ə<>məli
etməmişd,etm<>ə<>mişd
pinaros,pinaro<>s
ağılsız,ağıls<>ı<>z
mandane,man<>dan<>e
celçnıy,celçnı<>y
sporudu,sporud<>u
film,fil<>m
vurğusuz,vur<>ğusu<>z
pikalli,pikal<>l<>i
yuxarıya,yuxarıy<>a
dımrıq,dımr<>ı<>q
əlil,əli<>l
adamnan,adamn<>a<>n
məşədi,məşəd<>i
aycigit,aycigi<>t
deyilsə,dey<>i<>lsə
düşürdü,düş<>ü<>rdü
təhqirə,təh<>qirə
tanburun,tan<>buru<>n
çelimsiz,çelims<>i<>z
mlnazn,mlnaz<>n
kalite,kal<>ite
komeklik,kom<>ekli<>k
bahrom,bahro<>m
asılıyıq,asılıyı<>q
doğrulda,doğ<>rulda
memiş,memi<>ş
jasper,jasp<>e<>r
seviye,sev<>i<>ye
xevsşen,xevsş<>e<>n
nasdaq,nasd<>a<>q
göstərim,gös<>t<>ərim
qaldım,qal<>dım
edişar,ediş<>a<>r
katılır,kat<>ılır
düseyn,düsey<>n
basic,bas<>ic
edird,edi<>rd
iddianı,iddian<>ı
uçaraq,uçara<>q
sürgün,sür<>gün
səfa,səf<>a
armenian,armenia<>n
səsində,səs<>ind<>ə
qapını,qapın<>ı
ovaxtkı,ovaxtk<>ı
südlü,südl<>ü
boydadı,boydad<>ı
zankioni,zankio<>n<>i
marriott,mar<>riot<>t
məqaləsi,məq<>aləsi
manila,man<>ila
duranda,dur<>and<>a
bolşoy,bolşo<>y
bilhassa,bil<>hass<>a
güclü,güc<>lü
brunsick,brunsic<>k
tutduğu,tut<>duğu
çatdığım,çat<>d<>ığım
duraq,dur<>aq
keçirlən,keç<>i<>rlən
bağı,bağ<>ı
qalanin,qal<>ani<>n
burku,bur<>ku
glmişkn,glmişk<>n
cütünün,cütün<>ü<>n
kurort,kur<>ort
goozal,gooz<>a<>l
yazmışdı,yaz<>mışd<>ı
terörünü,ter<>örünü
yapıcı,yap<>ıc<>ı
yüzüni,yüz<>üni
irakin,iraki<>n
ggaayyyy,ggaayyy<>y
siyasi,siy<>a<>si
bağlanda,bağ<>l<>anda
nməişət,nməişə<>t
düşünürd,düş<>ü<>nürd
salzburg,sal<>zbur<>g
turlara,tur<>lar<>a
şəxsdir,şəxsdi<>r
azəki,azə<>k<>i
qaşuh,qaşu<>h
nəmlak,nəml<>a<>k
panama,panam<>a
giderken,giderk<>e<>n
qutudan,qutud<>a<>n
əlimin,əli<>min
anlatan,anl<>a<>tan
görədi,gör<>ədi
mahmudun,mah<>mudu<>n
şahmata,şah<>mata
burnuna,bur<>nuna
sehridir,sehrid<>i<>r
daşlar,daş<>lar
dhong,dho<>n<>g
ister,ist<>e<>r
gücə,güc<>ə
averbax,averba<>x
makamda,makamd<>a
moodys,moody<>s
hissiylə,hissiyl<>ə
edilərsə,edi<>lərs<>ə
mescitti,mescit<>t<>i
şirvanda,şirvand<>a
keçirtmə,keç<>i<>rtmə
sydney,sydne<>y
etmmsi,etmm<>s<>i
azərpoçt,azə<>r<>poçt
dolby,dol<>by
soltanlı,soltanl<>ı
gəlmış,gəl<>mı<>ş
başlayaq,baş<>l<>ayaq
ülkedir,ülkedi<>r
duralı,dur<>al<>ı
kesdim,kesdi<>m
peşəkər,peşəkə<>r
arıyam,arıya<>m
dağıtmak,dağ<>ı<>tmak
plani,pla<>n<>i
katılı,kat<>ılı
getmird,get<>mird
gülarə,gül<>ar<>ə
olmasaq,olm<>a<>saq
önəmlidi,önəmlid<>i
dönüb,dön<>üb
anılması,anılmas<>ı
qiyamı,qiy<>amı
qanunu,qan<>unu
nonlayn,nonlay<>n
tarzını,tar<>zın<>ı
bakalım,bak<>alı<>m
ataya,ata<>ya
istorii,ist<>orii
edirsə,edi<>rsə
irbis,irbi<>s
soyadıma,soy<>adıma
callad,calla<>d
dönməcə,dön<>məc<>ə
ciğa,ciğ<>a
derneğin,der<>neğin
thomas,thoma<>s
zengiler,zengil<>e<>r
gəzərkən,gəzərk<>ə<>n
yapıyord,yap<>ı<>yord
azərtaca,azə<>rtac<>a
olaf,ola<>f
verməzdi,ver<>m<>əzdi
ediriksə,edi<>riks<>ə
kabbado,kab<>bad<>o
sikkesi,sikke<>s<>i
musayev,mus<>ayev
nəsildə,nəsild<>ə
veremed,ver<>emed
taprl,tap<>rl
repoəks,repoək<>s
kışlakta,kışlakt<>a
seçiniz,seç<>ini<>z
ulduzda,ulduzd<>a
ffafl,ffaf<>l
şahbaz,şah<>baz
hocolara,hocola<>r<>a
əbləh,əblə<>h
görünmü,gör<>ü<>nmü
nnden,nnde<>n
mapping,mappi<>n<>g
yillərin,yillər<>i<>n
gedecek,gedec<>e<>k
üzməyə,üzməy<>ə
dannın,dann<>ı<>n
mahkum,mah<>kum
dokdo,dokd<>o
düzəninə,düz<>əninə
günahım,gün<>ahım
jüri,jür<>i
olmasayd,olm<>a<>sayd
madnan,madn<>a<>n
avxeri,avxe<>r<>i
edilacax,edi<>l<>acax
yüksəlir,yük<>s<>əlir
köçdü,köç<>dü
müəmmalı,müə<>mmalı
öyrədən,öyr<>ə<>dən
salgın,sal<>gın
tələbdir,tələbd<>i<>r
sancır,san<>cır
sağaltsı,sağ<>alts<>ı
yenile,yen<>i<>le
nökər,nök<>ə<>r
əliboş,əli<>bo<>ş
moruq,moru<>q
keçməyə,keç<>məyə
dövrdən,döv<>rdə<>n
dərsə,dər<>sə
tele,tel<>e
müdiri,müd<>iri
idmanla,idmanl<>a
yalanını,yalanın<>ı
bilinse,bil<>ins<>e
tarzə,tar<>zə
hazarala,haz<>arala
düzəlür,düz<>əlü<>r
tarak,tar<>ak
bişmişə,bişmiş<>ə
kartlara,kar<>tlara
beaufort,beaufor<>t
şatırlar,şatırl<>a<>r
profle,pro<>fl<>e
bağlayıp,bağ<>l<>ayıp
təmsilçi,təm<>silçi
tambur,tam<>bur
yardı,yar<>dı
sisli,sis<>l<>i
savaşmaz,sav<>aşmaz
sədrinə,sədrin<>ə
alavere,ala<>vere
halı,hal<>ı
yenili,yen<>i<>li
marşan,mar<>şan
türkmene,tür<>k<>mene
yəsəvi,yəsəv<>i
etleri,etle<>r<>i
şəhla,şəh<>l<>a
tərən,tər<>ə<>n
başlarda,baş<>lard<>a
köçmək,köç<>mək
fianna,fian<>n<>a
genişle,gen<>i<>şle
donoslar,donosl<>a<>r
seçib,seç<>i<>b
anlayna,anl<>ayn<>a
borj,bor<>j
görerek,gör<>ere<>k
ithafən,ithafə<>n
yüzi,yüz<>i
mudrı,mudr<>ı
zihnimin,zihnim<>i<>n
bərkdi,bərkd<>i
ərçivan,ərçiv<>a<>n
gelirli,gel<>i<>rli
etmemeye,etm<>emey<>e
karlıq,kar<>lıq
coşdurma,coşdurm<>a
kanun,kan<>un
istiklal,ist<>ikla<>l
endogam,endoga<>m
orkshops,orkshop<>s
scores,score<>s
mumbai,mumba<>i
şərh,şər<>h
karısı,kar<>ıs<>ı
gəlirli,gəl<>irli
yapısı,yap<>ı<>sı
yaralanı,yar<>a<>lanı
olmadığı,olm<>a<>dığı
ölkədəki,ölkədək<>i
qursalar,qursal<>a<>r
özkösəli,özkösə<>l<>i
belta,bel<>ta
inanırıq,ina<>nırı<>q
vermişdi,ver<>m<>işdi
çıxacağı,çıx<>a<>cağı
arapçası,ara<>pças<>ı
tapılmı,tap<>ılmı
mivital,mivit<>a<>l
yaylanin,yay<>lani<>n
alıngan,alıng<>a<>n
cansız,can<>sız
sinə,sin<>ə
tarihine,tar<>i<>hine
xazaruli,xazaru<>l<>i
cağların,cağlar<>ı<>n
mantisi,man<>tis<>i
marfa,mar<>f<>a
məqaləni,məq<>aləni
maha,mah<>a
kimlikli,kim<>likli
spain,spai<>n
saatadək,saatad<>ə<>k
əsasə,əsa<>sə
basitçe,bas<>itç<>e
sənayedə,sən<>ayed<>ə
gerberin,gerber<>i<>n
shenzhen,shenzh<>e<>n
gölünün,gölünü<>n
nələsi,nələs<>i
dərgimiz,dər<>gimiz
salandan,saland<>a<>n
vermd,ver<>m<>d
orelay,orela<>y
inansaq,inans<>a<>q
mhadi,mhad<>i
stark,sta<>rk
sənətdir,sən<>ə<>tdir
görmiyan,görmiy<>a<>n
təyininə,təyinin<>ə
maraqın,mar<>aqın
cəryanlı,cəryan<>l<>ı
bayanlar,bay<>anlar
biçardi,biçard<>i
qapançı,qapanç<>ı
putlara,putla<>r<>a
ağadadaş,ağa<>dada<>ş
sallar,sal<>lar
küçnnn,küçnn<>n
alana,ala<>na
çağlayıb,çağ<>layıb
türklüyə,tür<>k<>lüyə
müllimlr,mülliml<>r
yardim,yar<>dim
boşnak,boşn<>a<>k
adamdan,ada<>mda<>n
çalır,çal<>ı<>r
kond,kon<>d
mahnıya,mah<>nıy<>a
iade,iad<>e
tikilsi,tikils<>i
komutan,kom<>utan
yari,yar<>i
məxməri,məxmə<>r<>i
tamamlad,tam<>a<>mlad
zəkinin,zəkin<>i<>n
tamilce,tam<>ilc<>e
çalışlar,çalışl<>a<>r
yaylb,yay<>lb
alarak,ala<>rak
sinqapur,sin<>qapur
ediməsi,edi<>məs<>i
yetişib,yet<>i<>şib
məleykə,məl<>eyk<>ə
keçməsə,keç<>məsə
edironun,ediron<>u<>n
lending,lendi<>n<>g
çəkdird,çək<>dird
oxund,oxu<>nd
efsanevi,efsanev<>i
şkild,şkil<>d
həmzə,həm<>zə
çevrildi,çev<>r<>ildi
metan,met<>an
baxılmas,bax<>ılmas
düşər,düş<>ər
sortun,sor<>tun
dəyişmir,dəy<>i<>şmir
əsaslara,əsa<>slara
puardan,puard<>a<>n
vədigər,vədig<>ə<>r
füruci,füruc<>i
stoğuna,stoğu<>n<>a
barağız,barağ<>ı<>z
açaraq,açara<>q
qala,qal<>a
gündəyim,gün<>dəyi<>m
bizanslı,bizansl<>ı
sürerken,sürerk<>e<>n
babaoğlu,babaoğ<>l<>u
lurtı,lurt<>ı
rkbp,rkb<>p
səfəridi,səf<>əridi
vuruşsu,vur<>uşs<>u
kağızına,kağızın<>a
yolumu,yol<>umu
hərbin,hər<>bin
həyara,həyar<>a
törüner,törün<>e<>r
keçdilə,keç<>dilə
ebime,ebim<>e
nərminə,nərmin<>ə
schengen,scheng<>e<>n
görenler,gör<>enle<>r
olursan,olu<>rsan
kaşıkile,kaşıki<>l<>e
əhalinin,əhalin<>i<>n
hindemit,hindemi<>t
deyildim,dey<>i<>ldim
toplaya,top<>l<>aya
canllard,can<>llard
dinini,din<>ini
dirək,dir<>ək
işaqal,işaq<>a<>l
təsirlər,təs<>irlər
üzvünun,üzvünu<>n
toplamış,top<>l<>amış
dilediği,dil<>ediğ<>i
girişinə,gir<>işinə
bilməsə,bil<>m<>əsə
faciəyə,faciəy<>ə
marağına,mar<>ağına
kəsirlə,kəs<>irl<>ə
golan,gola<>n
döken,döke<>n
görünər,gör<>ü<>nər
udon,udo<>n
hlbuki,hlbu<>k<>i
ətalət,ətalə<>t
galliler,gallil<>e<>r
clerve,clerv<>e
tutmuşuq,tut<>muşu<>q
tezdən,tezdə<>n
qamış,qamı<>ş
suriyaya,suriyay<>a
abdestli,abdestl<>i
edirl,edi<>rl
drhal,drh<>a<>l
düşmn,düş<>m<>n
şəxlər,şəxl<>ə<>r
hopmuş,hopmu<>ş
özelcite,özelcit<>e
tədbir,təd<>bir
xoşuma,xoşum<>a
hayıma,hay<>ım<>a
başlıka,baş<>l<>ıka
gəlişi,gəl<>işi
çökrk,çökr<>k
sayarak,say<>arak
etməmişi,etm<>ə<>mişi
zaire,zair<>e
tuturduq,tut<>u<>rduq
polku,pol<>ku
zərbələr,zər<>bələr
oradaki,oradak<>i
devrim,dev<>rim
traf,tra<>f
ğurutun,ğurut<>u<>n
alman,alm<>a<>n
deleniə,deleni<>ə
təbrikə,təb<>rikə
türkcəni,tür<>kcən<>i
davada,dav<>ada
testdə,testd<>ə
götürür,göt<>ü<>rür
avamlığa,avamlığ<>a
işləməzd,işl<>əməz<>d
aramaq,ara<>maq
qafiyəli,qafiyəl<>i
zandux,zandu<>x
kalmaz,kal<>maz
bilmədən,bil<>mədə<>n
qeyrətli,qeyrətl<>i
fortum,for<>tu<>m
saxlayaq,sax<>l<>ayaq
savaşın,sav<>aşın
etirası,etiras<>ı
bağlılığ,bağ<>l<>ılığ
linkində,linkin<>d<>ə
atıldıla,atıldıl<>a
topları,top<>l<>arı
anaxtar,ana<>xta<>r
yönümdə,yön<>ümd<>ə
inkarlıq,inkarl<>ı<>q
events,event<>s
katalaun,kat<>alau<>n
hazaract,haz<>aract
əlvandır,əlvand<>ı<>r
aradrrla,aradrr<>l<>a
nurqali,nurqa<>l<>i
tamiri,tam<>iri
kızılkum,kızılku<>m
hinduizm,hinduiz<>m
tutulu,tut<>u<>lu
olmayıb,olm<>a<>yıb
şövkət,şövkə<>t
karganın,kargan<>ı<>n
gittiniz,gittin<>i<>z
valmorun,valmor<>u<>n
ncın,ncı<>n
yanısıra,yan<>ısır<>a
olunmuz,olu<>n<>muz
qoymuşu,qoy<>muşu
üzümüzə,üzümüz<>ə
zərurəti,zər<>urəti
siestan,siest<>a<>n
polkunda,polkun<>d<>a
keytidə,keyti<>d<>ə
bilərik,bil<>ərik
martin,mar<>tin
səslərə,səs<>l<>ərə
dura,dur<>a
dönmüş,dön<>müş
çaydani,çayda<>n<>i
tanısın,tan<>ısı<>n
işlni,işl<>ni
borcalan,bor<>calan
yoran,yora<>n
itaətkar,itaətk<>a<>r
uzada,uza<>da
vasfedim,vasfedi<>m
jökül,jökü<>l
tahminen,tahmine<>n
baxmadan,bax<>mada<>n
rzanın,rzan<>ı<>n
işləməsi,işl<>ə<>məsi
tapia,tap<>i<>a
dəstəçi,dəs<>təç<>i
dviky,dvik<>y
pakturye,paktury<>e
tsniflr,tsnifl<>r
basqı,bas<>qı
ğeyrət,ğeyrə<>t
kuzeni,kuzen<>i
miqdarda,miqdard<>a
kayalara,kay<>alara
bağırov,bağ<>ırov
cığalı,cığal<>ı
pedaqoji,pedaqoj<>i
leech,leec<>h
kamçı,kam<>çı
kağayev,kağaye<>v
cezmi,cezm<>i
yuxuya,yuxuy<>a
azərsu,azə<>r<>su
aktı,akt<>ı
bacısı,bacıs<>ı
bahasına,bahası<>n<>a
qoriyan,qoriy<>a<>n
atıfla,atıfl<>a
dağılıb,dağ<>ı<>lıb
olmal,olm<>a<>l
səbrimiz,səbrim<>i<>z
pobeda,pobe<>d<>a
gülalı,gül<>al<>ı
yayılaca,yay<>ı<>laca
bitərəf,bit<>ərəf
sekizar,sekiza<>r
founded,founde<>d
hastası,hastas<>ı
zanmax,zanma<>x
fadlan,fadl<>a<>n
dayanan,day<>a<>nan
qoymax,qoy<>max
ortataş,ortata<>ş
doğudakı,doğ<>udak<>ı
bağlılıq,bağ<>l<>ılıq
culfalar,culfal<>a<>r
dağdağan,dağdağ<>a<>n
mnajdra,mnajd<>r<>a
oqorlar,oqorl<>a<>r
bilmian,bil<>mia<>n
çağırırı,çağ<>ırırı
turist,tur<>ist
qatmış,qatmı<>ş
alinmaz,alinma<>z
ilhiyat,ilhiy<>a<>t
alacaktı,ala<>cakt<>ı
başlandı,baş<>l<>andı
gələcək,gəl<>əcək
peykinə,peykin<>ə
dicistar,dicist<>a<>r
yazının,yaz<>ını<>n
canxanım,can<>xanı<>m
tymur,tym<>u<>r
çekinizi,çekiniz<>i
ilboyu,ilboy<>u
təbiəti,təb<>iəti
ünvansız,ünvans<>ı<>z
adamına,ada<>mın<>a
nnini,nnin<>i
kaşıdan,kaşıd<>a<>n
maraqdan,maraqd<>a<>n
çalına,çal<>ı<>na
saxa,sax<>a
yandux,yan<>dux
umuduyla,umuduyl<>a
alınlı,alı<>nl<>ı
kari,kar<>i
sızladı,sızlad<>ı
evreye,evrey<>e
edənin,edəni<>n
olunursa,olu<>n<>ursa
türkgözü,tür<>kgöz<>ü
sabiha,sabih<>a
deliller,delill<>e<>r
səhnəcik,səh<>nəcik
efkan,efk<>a<>n
filmin,fil<>min
ağacı,ağa<>cı
yığmamız,yığmam<>ı<>z
sübhan,sübha<>n
görülmsi,gör<>ülms<>i
seyrinde,seyrin<>d<>e
qalo,qal<>o
görürd,gör<>ü<>rd
saymışdı,say<>mışd<>ı
çopanın,çopan<>ı<>n
tutmuştu,tut<>muşt<>u
bxti,bxt<>i
durumdan,dur<>umdan
gördülər,gör<>dülə<>r
canlya,can<>ly<>a
birləşd,bir<>l<>əşd
tutulmak,tut<>u<>lmak
çıkmıyo,çık<>mıyo
çəkilişi,çək<>ilişi
göyərdib,göyərdi<>b
kapısı,kap<>ısı
izlediği,izlediğ<>i
sevgidi,sev<>gidi
barışını,bar<>ışın<>ı
jermon,jerm<>o<>n
sabahkı,sabahk<>ı
beşbirli,beşbir<>l<>i
shqip,shqi<>p
yöneti,yön<>eti
başlayıb,baş<>l<>ayıb
ikanın,ikan<>ı<>n
ülküleri,ülküle<>r<>i
varmamış,var<>mamı<>ş
sahiblər,sah<>iblər
girebili,gir<>ebili
konsertl,kon<>s<>ertl
möhtşm,möhtş<>m
finra,finr<>a
lenovo,lenov<>o
pranga,prang<>a
faynenşl,faynenş<>l
silinən,sil<>inən
siniflər,sin<>iflər
böylece,böylec<>e
ndövlət,ndövlə<>t
edilsin,edi<>l<>sin
anlardan,anlard<>a<>n
palaça,palaç<>a
nrgiz,nrg<>i<>z
budizmle,budizml<>e
savrulma,savrul<>m<>a
zikzak,zikz<>a<>k
tamarzı,tam<>arz<>ı
yönetti,yön<>etti
mümanəət,mümanəə<>t
buraxdım,bur<>a<>xdım
vermkddi,ver<>mkdd<>i
noray,nora<>y
lozanda,lozand<>a
valsında,valsın<>d<>a
aparmalı,apa<>r<>malı
falster,falst<>e<>r
senker,senke<>r
ödemede,ödemed<>e
marchesi,marche<>s<>i
qdrətli,qdrət<>l<>i
telekom,tel<>e<>kom
havzası,havzas<>ı
geride,ger<>ide
seldi,seld<>i
belgeye,bel<>gey<>e
sualdır,sualdı<>r
əliynən,əliyn<>ə<>n
köçəndən,köçənd<>ə<>n
məlhəm,məl<>hə<>m
bakı,bak<>ı
məqbul,məq<>bul
falakaya,falaka<>y<>a
verilişi,ver<>i<>lişi
barı,bar<>ı
oyalama,oyala<>m<>a
ilduzu,ilduz<>u
girişimi,gir<>işimi
evgeni,evge<>n<>i
təmirini,təm<>irin<>i
işarənin,işarən<>i<>n
başın,baş<>ın
yapıları,yap<>ı<>ları
hücümunu,hücümun<>u
sukanal,sukan<>a<>l
kasetler,kasetl<>e<>r
səhhət,səh<>hət
navela,nave<>l<>a
uzanırsa,uza<>nırs<>a
konturu,kon<>turu
daykundi,daykun<>d<>i
devirmək,dev<>irmə<>k
göreceği,gör<>eceği
qisimdə,qisim<>d<>ə
güllə,gül<>lə
durmayan,dur<>mayan
şurasıdı,şurasıd<>ı
korean,kor<>ea<>n
səbəbsiz,səbəbs<>i<>z
sirtaki,sirta<>k<>i
bəndini,bəndi<>n<>i
laneti,lanet<>i
manda,man<>da
olmakla,olm<>akl<>a
cəriməni,cərimən<>i
lafur,lafu<>r
yardımın,yar<>dımın
kaleler,kal<>ele<>r
sessizli,sessizl<>i
ifaetmə,ifaetm<>ə
enerci,enerc<>i
varislik,var<>islik
təmini,təm<>ini
səsli,səs<>l<>i
ahonun,ahonu<>n
qazanırd,qaz<>a<>nırd
dövründ,döv<>ründ
afişası,afişas<>ı
asaletli,asaletl<>i
sinəmdə,sin<>əmd<>ə
tkrarçla,tkrarç<>l<>a
nəsirli,nəsirl<>i
düzülüşü,düz<>ülüşü
sözlük,söz<>lük
askar,aska<>r
minnet,min<>net
mətnana,mətnan<>a
diobent,dioben<>t
səhvlə,səh<>vlə
asılan,asıla<>n
quyiya,quyi<>y<>a
üyenin,üyen<>i<>n
trand,tra<>nd
şənbə,şənb<>ə
profdr,pro<>fdr
doğr,doğ<>r
donmuşd,donmuş<>d
sıxılır,sıxılı<>r
uzan,uza<>n
sigara,siga<>r<>a
nöqsanın,nöqsanı<>n
mövzunun,möv<>zunu<>n
baslık,bas<>lık
almanca,alm<>a<>nca
macarhel,macarhe<>l
aaşırlı,aaşır<>l<>ı
qanla,qan<>la
müddt,müd<>dt
künbəzlə,künbəzl<>ə
italja,italj<>a
eyniyyət,eyniyyə<>t
stpaul,stpau<>l
provider,pro<>vider
dana,dan<>a
bitib,bit<>ib
bodur,bodu<>r
kapsar,kap<>sar
şttlr,şttl<>r
çıxışla,çıx<>ışla
palçıqlı,palçıq<>l<>ı
məzərdən,məzərd<>ə<>n
through,throug<>h
önlük,önlü<>k
çiçəgi,çiçəg<>i
sazını,sazın<>ı
verecek,ver<>ecek
novbəti,novbə<>t<>i
ikipedia,ikipedi<>a
kaman,kam<>an
axça,axç<>a
qarlq,qar<>lq
lines,line<>s
zəhra,zəhr<>a
thaddeus,thaddeu<>s
imzlnmış,imzlnm<>ı<>ş
yalkani,yalka<>n<>i
tutmuşla,tut<>muşl<>a
müsaade,müs<>aad<>e
kokhir,kokh<>i<>r
trafnz,tra<>fnz
üsuludur,üsuludu<>r
pirdi,pird<>i
tədarükü,təd<>arükü
bilqamıs,bil<>qamı<>s
unsurdu,unsurd<>u
yakından,yakınd<>a<>n
hərb,hər<>b
hfiz,hfi<>z
parapet,par<>ape<>t
işlərin,işl<>ə<>rin
qayıtmış,qay<>ıtmış
qremmi,qremm<>i
ayrılıgı,ayr<>ılıg<>ı
edilirm,edi<>l<>irm
famous,famou<>s
təxliyə,təxliy<>ə
vermiyer,ver<>miye<>r
yazıyord,yaz<>ıyor<>d
tepeden,teped<>e<>n
oluşmuş,olu<>şmuş
uzanır,uza<>nır
yüksəliş,yük<>s<>əliş
başqası,baş<>qası
əmrlərin,əmrləri<>n
endeksli,endeksl<>i
olursa,olu<>rsa
tanerin,taner<>i<>n
akalın,akalı<>n
firefox,firefo<>x
millisi,mil<>l<>isi
yaylaq,yay<>laq
çağri,çağ<>ri
domenlər,domenl<>ə<>r
qaldırır,qal<>dırır
vefakr,vefak<>r
şehiriçi,şehiriç<>i
moskvaya,moskvay<>a
dövlətik,döv<>lətik
qəziyyə,qəziyy<>ə
rizsind,rizsi<>n<>d
mərmərə,mər<>mər<>ə
məşəllər,məşəll<>ə<>r
training,tra<>inin<>g
dustin,dusti<>n
hazır,haz<>ı<>r
fayldan,fayld<>a<>n
xırdavat,xırdav<>a<>t
olmişdür,olm<>işdü<>r
zərbədən,zər<>bədə<>n
akaidine,akaidin<>e
mətbəəyə,mətbəəy<>ə
sevir,sev<>i<>r
arsiyan,arsiy<>a<>n
çıxa,çıx<>a
kimə,kim<>ə
gauck,gauc<>k
açılıb,açı<>lıb
daqqa,daqq<>a
izlərini,izlərin<>i
savaşını,sav<>aşın<>ı
dutsan,duts<>a<>n
oxumadır,oxu<>madı<>r
haftalik,haftali<>k
hirohito,hirohit<>o
tumuşdu,tumuşd<>u
tamahım,tam<>ahı<>m
meyker,mey<>ker
yaxındır,yax<>ındı<>r
beləcə,bel<>əc<>ə
bayan,bay<>an
kerjents,kerjent<>s
skype,skyp<>e
cürbcür,cürbcü<>r
yazilar,yaz<>ilar
naradaki,narada<>k<>i
arab,ara<>b
sulardan,sulard<>a<>n
tələsin,təl<>əsin
urfa,urf<>a
sürmə,sür<>mə
olmayin,olm<>ayi<>n
isbatov,isbato<>v
döşlərə,döşlər<>ə
düzild,düz<>ild
aparan,apa<>r<>an
isidən,isidə<>n
fethiyle,fethiy<>l<>e
küçədəki,küçədə<>k<>i
dəmur,dəmu<>r
xoylu,xoyl<>u
olmad,olm<>a<>d
etopon,etop<>o<>n
spihda,spih<>d<>a
aktları,akt<>ları
məscidə,məs<>cidə
türbələr,tür<>bələr
yararlı,yar<>a<>rlı
olaydı,ola<>ydı
bağışov,bağ<>ışov
mügavilə,mügavi<>l<>ə
yazıbla,yaz<>ıbl<>a
beqdili,beqdi<>l<>i
ittuberu,ittuber<>u
meyve,mey<>ve
arsayı,arsay<>ı
billion,bil<>lio<>n
etməməsi,etm<>ə<>məsi
daşında,daş<>ı<>nda
təkyə,tək<>yə
keyifli,keyifl<>i
geriyd,ger<>iyd
miçurin,miçur<>i<>n
çelebi,çeleb<>i
sportoe,sporto<>e
seçim,seç<>i<>m
pozulmiş,pozulmi<>ş
kilsənin,kilsəni<>n
yürüyoru,yür<>üyoru
ərənləri,ərənlər<>i
dəstəkdə,dəs<>t<>əkdə
bahçeye,bahçey<>e
mezacı,mezac<>ı
tamamını,tam<>a<>mını
sansür,san<>sür
geriye,ger<>iye
denli,den<>l<>i
görenek,gör<>enek
salish,sal<>is<>h
baskıya,bas<>kıya
konan,kon<>an
özmen,özm<>e<>n
yaziçisi,yaz<>içis<>i
qnatlr,qnatl<>r
olunama,olu<>n<>ama
kılarla,kılar<>l<>a
yürək,yür<>ək
buruk,bur<>uk
götürd,göt<>ü<>rd
rstun,rst<>u<>n
utku,utk<>u
mənbx,mən<>bx
olur,olu<>r
baxmağı,bax<>mağ<>ı
doğmu,doğ<>mu
neyin,neyi<>n
yetirə,yet<>i<>rə
bağlantı,bağ<>l<>antı
alacakt,ala<>cakt
gelse,gel<>se
dağından,dağınd<>a<>n
satıcı,sat<>ıcı
çıkarını,çık<>arın<>ı
üise,üis<>e
qşuşanın,qşuşan<>ı<>n
kuralın,kur<>alın
bursa,bur<>sa
yörük,yörü<>k
verməkdi,ver<>m<>əkdi
kurucu,kur<>u<>cu
ağalar,ağa<>lar
görüldü,gör<>ü<>ldü
çursutal,çursut<>a<>l
edin,edi<>n
kimliyi,kim<>liyi
dizqırma,dizqır<>m<>a
polis,pol<>is
olunmurd,olu<>n<>murd
nırx,nır<>x
önayak,önay<>a<>k
gemiside,gemisid<>e
osce,osc<>e
banklar,ban<>klar
qızılgül,qızılgü<>l
çövhər,çövh<>ə<>r
bilici,bil<>i<>ci
kulak,kul<>ak
kargo,kar<>go
imüavin,imüav<>i<>n
gəlirdən,gəl<>irdə<>n
karışıld,kar<>ışıld
şonberq,şonber<>q
karayan,kar<>aya<>n
koredeki,korede<>k<>i
vədinə,vədin<>ə
